"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Accipiter_gentilis";"Accipiter_nisus";"Aegithalos_caudatus";"Anthus_campestris";"Buteo_buteo";"Caprimulgus_europaeus";"Carduelis_cannabina";"Carduelis_carduelis";"Carduelis_chloris";"Certhia_brachydactyla";"Clamator_glandarius";"Circaetus_gallicus";"Cisticola_juncidis";"Columba_palumbus";"Cuculus_canorus";"Dendrocopos_major";"Miliaria_calandra";"Emberiza_cirlus";"Erithacus_rubecula";"Falco_subbuteo";"Falco_tinnunculus";"Fringilla_coelebs";"Galerida_cristata";"Garrulus_glandarius";"Hippolais_polyglotta";"Lanius_collurio";"Lanius_meridionalis";"Lanius_senator";"Luscinia_megarhynchos";"Merops_apiaster";"Motacilla_alba";"Muscicapa_striata";"Oriolus_oriolus";"Parus_caeruleus";"Parus_cristatus";"Parus_major";"Passer_domesticus";"Phylloscopus_bonelli";"Petronia_petronia";"Pernis_apivorus";"Picus_viridis";"Regulus_ignicapilla";"Saxicola_torquatus";"Serinus_serinus";"Streptopelia_turtur";"Sylvia_atricapilla";"Sylvia_melanocephala";"Sylvia_undata";"Sturnus_vulgaris";"Troglodytes_troglodytes";"Turdus_merula";"Turdus_philomelos";"Turdus_viscivorus";"Lullula_arborea";"Sylvia_cantillans"
"25";"Rost-125";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,316;0;0;0,503;0;0,503;0;0;0;0;0;0;0;0,316;0;0;0;0;0;0;0;0,699;0;0;0,595;0;0;0;2,19;0;0;0;0;0;0;0;0;0;0;0,456;0;0;0;1,038;2,07;0;0;5,285;0;0;0;0
"26";"Rost-126";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,215;0;0;1,706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,352;0,468;0;0;0;0;0;0,746;0,654
"27";"Rost-128";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0,556;0;0;0;0;0;0;0;0,35;0,748;0;0;0;0;0;0;0,773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35;0;0;0;0;0;0,573;0;0;0;5,839;0;0;0,574;0
"28";"Rost-129";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,733;0;0;0;0;0;0;0;0;0;0,23;0,493;0;0;0;0;0;0;0,509;0;0;0;0,357;0,461;0;0;0;0;0;0,509;1,161;0;0;0;0;0;0,332;0;0;0;1,134;0;0;0;0;0;0;0;0,654
"29";"Rost-13";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,258;0;0;0;0;0;0;0;0;0;0,41;0;0;0;0;0;0;0;0;0;0
"30";"Rost-130";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;1,071;0,807;0;0;0;0;0;0;0;0,254;0;0;0;0;0;0;0;0,561;0;0;0;0,393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,832;0;0;0;4,239;0;0;0,769;0
"31";"Rost-131";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,523;2,776;0;0;0;0;0;0;0;0;0,658;0;0;0;0;0;0;0;1,454;0;0;1,237;0;0,329;0;0;0;0;0;0,727;0,829;0;0;0;0;0;0;0;0;0;0,539;0;0;0;0;0;0;2,049;0
"32";"Rost-132";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0,256;0;0;0;0,256;0,513;0;0;0,256;0;0;0;0;0;0;0;0,482;0;0,513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,262;0;0;0;0;0;0;1,194;0
"33";"Rost-133";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,27;0,578;0;0;0;0;0;0;1,195;0;0;0,508;0,838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,33;0;0;0;4,514;0;0;1,417;0
"34";"Rost-134";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,22;0;0;0,35;0;0,7;0;0;0;0,22;0;0;0;0,22;0;0;0;0;0;1,374;0;0,487;0;0;0;0;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0,317;0;0;0;0,361;0;0;0;0;0;0;0;0
"35";"Rost-138";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,291;0;0;0;0;0;0;0;0;0;0;0;0;0,291;0,622;0;0;0;0;0;0;0,642;0;0;0;0,451;0;0;0;0;0;0;0;3,663;0;0;0;0;0;0,419;0;0;0;0,953;0;0;0;0;0;0;0;0,711
"36";"Rost-139";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,532;1,138;0;0;0;0;0;0;0,588;0;0;0,5;0,412;0;0;0;0;0;0;0;0;0;0;0;0;0;0,383;0;0;0;0,872;0;0;0;0;0;0;0,657;1,589
"37";"Rost-14";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,869;0
"38";"Rost-140";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,007;0,718;0;0;0;0;0;0;0;0,671;0;0,631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,483;0;0;0;0,55;0;0;0;0;0;0;0;0
"39";"Rost-143";"Rost et al 2012";"rost_spain";"fire";"birds";3;"unsalvaged";3,663220339;0;0;0;0;0;0;0,729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,376;1;0;0;0;0;0;0;0
"40";"Rost-144";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,36;0;0;0;0,82;1,09;0;0;0;0;0;0;0,826
"41";"Rost-146";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;2,527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,395;0;0;0;0;0,793;0;0;0;0;0;0;0;0,431;0,647;0;0;0,982;0,653;0;0;0;0;0;0,597;0
"42";"Rost-147";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;1,175;0;0,392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,305;0;0;0;0;0;0;0;0,355;0;0;0;0,404;1,611;0;0;0;0;0;1,937;0
"43";"Rost-149";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,299;0;0;1,428;0;0;0;0;0;0;0;0;0;0,299;0;0;0;0;0;0,623;0;0,662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,862;0;0;0;0;0;0;0;0;0;0;0,617;0,654
"44";"Rost-15";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,743;0,727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,493;0;0;0;0
"45";"Rost-150";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,228;0;0;0,363;0;2,178;0;0;0;0,457;0;0;0;0,457;0;0;0;0;0;0,475;0;0,505;0;0;0,429;0;0;0;0;0;0;0;0;0,575;0;0,457;0;0;0;0,329;0;0;0;0,374;0;0;0;0;0;0;0;0
"46";"Rost-152";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,613;0;0;0;0;0;0;0;0;0;0;0,577;0;0,307;0;0;0;0;0;0;0;0;1,227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"47";"Rost-153";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,34;0;0;0;0;0;0;0;0;0;0,34;1,279;0;0,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,116;0;0;0;0;0;0;0,5;1,611
"48";"Rost-156";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0,757;0;0;0;0;0;0;0;0,714;0,51;0;0;0;0;0;0;0,526;0;0;0;0,369;0,476;0;0;0;0;0;0;0;0;0;0;0;0;0;0,514;0;0;0,39;0;0;0;0;0;0;0,557;0
"49";"Rost-157";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0,362;0;0;0;0;0;0;0;0;0;0,525;0,801;0;0;0;0,562;0;0;0;0,362;0;0;0;0;0;0;0;0;0;0;0;0;0;2,377;0;0;0;6,051;0;0;0,469;0,783
"50";"Rost-158";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,988;0;0;0;0;0;0;0;0,654
"51";"Rost-159";"Rost et al 2012";"rost_spain";"fire";"birds";3;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,522;0,694;0;0;0;0;0;0;1,691
"52";"Rost-16";"Rost et al 2012";"rost_spain";"fire";"birds";1;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,464;0;0;0;0;0;0;1,309;0;0;0;0;0;0;0;0;1,6;0,247;0,802;0,81;0;0;0;0;0;0;0;2,134
"53";"Rost-160";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0,379;0;0;0;0;0;0;0;0;0;0;0;0;0,379;0;0;0;0;0;0;0;0;0;0;0;0;0,379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;0
"54";"Rost-162";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,812;0;0;0;0;0;0;0,971;0
"55";"Rost-163";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;3,838;0;0;0;0;0;0;0,345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,497;0;0;0;0;0,752;0;0;0;0;0;0;2,906
"56";"Rost-164";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0,483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,441;0,672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,583;0
"57";"Rost-165";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,512;0;0;0,575;0;0,393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,813;0,881;0;0;0;0;9,051;0;0;0;0
"58";"Rost-166";"Rost et al 2012";"rost_spain";"fire";"birds";1;"salvaged";3,663220339;0;0;0;0,205;0;0;0;1,73;0;0;0;0;0,205;0;0;0;0,205;0;0;0;0,205;0;1,705;0;0,453;0;0;0;0,635;0,205;0,871;0;0;0;2,715;0;0,516;0;0;0;0;0;0;0;0;0;0,336;0;0;0;0;0;0;0,934;0
"59";"Rost-167";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;1,131;0,752;0;0;0;0;0;0;0
"60";"Rost-169";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,271;0;0;1,008;0;0;0;0;0;0;0;0;0,509;0,84;0;0;0,938;0;0;0;0;0;0;0;0;0;0;0;0;0,271;0,881;0,889;0;0;0;4,526;0;0;0;3,78
"61";"Rost-170";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0,652;0;0;0;0;0;0;0;0;0;0,205;0;0;0;0;0;2,131;0;0;0;0;0,385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,674;0
"62";"Rost-171";"Rost et al 2012";"rost_spain";"fire";"birds";3;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;0;0,345;0;0;0;0;0;0;0;0,648;0;0,345;0;0;0;0;0;0;0;0;0;0,345;0;0;0;0;0;0;0,566;0;0;0;0;0;0;0;0,771
"63";"Rost-172";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,967;0;0;0;0;0;0;0;0;0;0,608;0;0;0;0;0;0;0;1,343;0;0,304;0,571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,438;0;0;0;0,997;0,663;0;0;0;0;0;0,557;0
"64";"Rost-173";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,271;1,16;0;0;0;0;0;0;0,599;0;0;0;0;0;1,152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,444;0;0;0;0;0;0;0,966;0
"65";"Rost-174";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0,205;0;0;0;0;0;0;0;0,205;0;0;0,426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,59;0,885;0;0;0,672;0;0;0;0;0;0;1,343;0
"66";"Rost-18";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,459;0;0;0;0;0;0;0;0;0;0;0,333;0;0;0;0;0;0,569;0;0;0;0;0;0;0;0;0;0,429;0;0;0;0;0;0;0,858;0;0;0
"67";"Rost-19";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,922;0;0;0
"68";"Rost-2";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0,312;0;0;0;0;0,196;0;0;0;0;0;0;0;0,831;0;0;0;0;0;0;0,304;0;0;0,678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,275;0;0;0;0
"69";"Rost-20";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;1,476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,21;0;0;0;0,773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
